"","Var1","Freq"
"1","-0.00512",1
"2","-0.003845",1
"3","-0.003747",1
"4","-0.001675",1
"5","-0.001232",1
"6","0.02817",1
"7","0.04854",1
"8","0.05265",1
"9","0.05352",1
"10","0.06249",1
"11","0.06624",1
"12","0.07666",1
"13","0.08676",1
"14","0.08742",1
"15","0.08801",1
"16","0.08939",1
"17","0.08994",1
"18","0.09",1
"19","0.09261",1
"20","0.09516",1
"21","0.09559",1
"22","0.09669",1
"23","0.09719",1
"24","0.09872",1
"25","0.0993",1
"26","0.1004",1
"27","0.1016",2
"28","0.1023",1
"29","0.1025",1
"30","0.1033",1
"31","0.1054",2
"32","0.106",2
"33","0.1067",1
"34","0.1091",1
"35","0.1093",1
"36","0.1142",1
"37","0.1159",2
"38","0.1162",1
"39","0.1166",1
"40","0.117",1
"41","0.1185",1
"42","0.1207",1
"43","0.1215",1
"44","0.1223",1
"45","0.123",1
"46","0.1233",2
"47","0.1246",1
"48","0.1247",1
"49","0.1262",1
"50","0.1265",1
"51","0.1312",1
"52","0.1314",1
"53","0.1325",1
"54","0.1327",1
"55","0.1333",1
"56","0.1343",1
"57","0.1352",1
"58","0.1362",2
"59","0.1363",2
"60","0.1367",1
"61","0.1421",2
"62","0.1425",1
"63","0.1428",1
"64","0.1429",1
"65","0.1436",1
"66","0.1468",1
"67","0.1471",1
"68","0.1473",1
"69","0.1486",1
"70","0.1497",1
"71","0.1499",1
"72","0.1504",1
"73","0.151",1
"74","0.1541",1
"75","0.156",1
"76","0.1561",2
"77","0.1581",1
"78","0.1584",1
"79","0.1589",1
"80","0.1647",1
"81","0.1648",1
"82","0.1654",1
"83","0.1657",1
"84","0.1671",2
"85","0.1694",1
"86","0.1696",2
"87","0.1699",2
"88","0.17",1
"89","0.1722",3
"90","0.1723",1
"91","0.1732",1
"92","0.1739",1
"93","0.1758",1
"94","0.1761",1
"95","0.1767",1
"96","0.1778",1
"97","0.1783",1
"98","0.179",1
"99","0.1795",1
"100","0.1808",4
"101","0.1813",1
"102","0.1814",1
"103","0.1815",1
"104","0.1831",1
"105","0.1833",1
"106","0.184",1
"107","0.1858",1
"108","0.1861",1
"109","0.1873",1
"110","0.1929",1
"111","0.1934",1
"112","0.1945",1
"113","0.1948",3
"114","0.1956",1
"115","0.1961",1
"116","0.1984",1
"117","0.1987",1
"118","0.1989",1
"119","0.1997",1
"120","0.2026",1
"121","0.2066",1
"122","0.2074",1
"123","0.2088",1
"124","0.2096",1
"125","0.2118",1
"126","0.212",1
"127","0.2143",1
"128","0.2168",1
"129","0.2169",2
"130","0.2202",1
"131","0.2213",1
"132","0.2222",2
"133","0.2273",1
"134","0.228",1
"135","0.2281",2
"136","0.2295",1
"137","0.2344",2
"138","0.2376",2
"139","0.2384",1
"140","0.241",1
"141","0.2413",2
"142","0.2415",1
"143","0.2445",1
"144","0.2473",1
"145","0.2482",1
"146","0.2517",1
"147","0.2526",1
"148","0.2534",1
"149","0.2543",1
"150","0.2553",1
"151","0.2569",1
"152","0.2571",3
"153","0.2572",1
"154","0.2576",1
"155","0.26",2
"156","0.2616",1
"157","0.2642",1
"158","0.2662",2
"159","0.2667",1
"160","0.2671",1
"161","0.2724",1
"162","0.2731",1
"163","0.2734",1
"164","0.2735",1
"165","0.2762",2
"166","0.2765",1
"167","0.2766",1
"168","0.2785",1
"169","0.2789",1
"170","0.2798",1
"171","0.2807",1
"172","0.2816",1
"173","0.2837",1
"174","0.2854",1
"175","0.2893",1
"176","0.2911",1
"177","0.2917",1
"178","0.2926",1
"179","0.2978",1
"180","0.299",1
"181","0.3",1
"182","0.3002",1
"183","0.3018",1
"184","0.3025",1
"185","0.3028",1
"186","0.3037",1
"187","0.3045",1
"188","0.305",2
"189","0.3053",1
"190","0.3073",1
"191","0.3074",1
"192","0.3078",1
"193","0.3112",1
"194","0.312",1
"195","0.3124",1
"196","0.3129",1
"197","0.3131",1
"198","0.3153",1
"199","0.3154",1
"200","0.3155",1
"201","0.3157",1
"202","0.3159",1
"203","0.3166",1
"204","0.317",1
"205","0.3186",1
"206","0.3195",1
"207","0.3206",1
"208","0.3218",1
"209","0.3219",1
"210","0.3235",1
"211","0.3252",1
"212","0.3254",1
"213","0.3282",2
"214","0.3301",1
"215","0.3309",1
"216","0.3315",1
"217","0.3335",1
"218","0.3338",1
"219","0.3344",1
"220","0.3349",1
"221","0.3356",1
"222","0.3358",1
"223","0.3362",1
"224","0.3365",1
"225","0.3368",1
"226","0.3372",1
"227","0.3378",1
"228","0.3386",1
"229","0.3393",1
"230","0.3415",2
"231","0.3424",1
"232","0.3425",1
"233","0.3427",1
"234","0.3431",1
"235","0.3454",1
"236","0.3458",1
"237","0.3464",1
"238","0.3474",1
"239","0.3477",1
"240","0.3485",1
"241","0.3489",1
"242","0.3496",1
"243","0.3498",1
"244","0.3509",1
"245","0.3515",1
"246","0.3526",1
"247","0.3527",1
"248","0.3529",1
"249","0.3544",1
"250","0.3553",1
"251","0.3554",1
"252","0.3566",1
"253","0.3569",1
"254","0.357",2
"255","0.3572",1
"256","0.358",1
"257","0.36",1
"258","0.3608",1
"259","0.3611",1
"260","0.3615",1
"261","0.3619",1
"262","0.3639",2
"263","0.3652",1
"264","0.3657",1
"265","0.3663",1
"266","0.3666",1
"267","0.3685",2
"268","0.3687",1
"269","0.3689",2
"270","0.369",1
"271","0.3703",1
"272","0.3712",2
"273","0.3718",2
"274","0.3726",1
"275","0.3729",2
"276","0.373",1
"277","0.3731",1
"278","0.3733",1
"279","0.3736",1
"280","0.3752",1
"281","0.3768",2
"282","0.3772",1
"283","0.3774",1
"284","0.3787",1
"285","0.379",1
