"","Var1","Freq"
"1","0.2823",1
"2","0.3157",1
"3","0.3337",1
"4","0.3633",2
"5","0.3692",2
"6","0.3748",1
"7","0.3755",1
"8","0.3758",1
"9","0.3783",1
"10","0.3848",5
"11","0.3869",2
"12","0.3872",1
"13","0.401",10
"14","0.4022",1
"15","0.408",1
"16","0.4123",8
"17","0.4128",1
"18","0.4129",1
"19","0.4131",1
"20","0.4169",2
"21","0.4171",1
"22","0.4183",4
"23","0.42",1
"24","0.421",2
"25","0.425",2
"26","0.4252",3
"27","0.4254",1
"28","0.4261",1
"29","0.4281",1
"30","0.4284",3
"31","0.4288",1
"32","0.4292",1
"33","0.4306",6
"34","0.4331",1
"35","0.4345",12
"36","0.4354",2
"37","0.4382",2
"38","0.4403",1
"39","0.4419",1
"40","0.4432",1
"41","0.4472",1
"42","0.4479",1
"43","0.449",1
"44","0.4495",2
"45","0.4505",2
"46","0.4519",2
"47","0.4534",1
"48","0.454",2
"49","0.4546",1
"50","0.4549",1
"51","0.4555",1
"52","0.4559",2
"53","0.4561",2
"54","0.4603",4
"55","0.4619",1
"56","0.4627",5
"57","0.4632",1
"58","0.4638",1
"59","0.4672",1
"60","0.4678",2
"61","0.4685",1
"62","0.4686",1
"63","0.471",5
"64","0.4713",4
"65","0.4716",2
"66","0.4722",1
"67","0.4735",1
"68","0.4743",6
"69","0.4746",1
"70","0.4747",2
"71","0.4763",3
"72","0.4773",1
"73","0.4776",1
"74","0.4785",2
"75","0.4804",3
"76","0.4808",3
"77","0.4846",2
"78","0.4849",1
"79","0.4869",2
"80","0.4872",1
"81","0.4877",1
"82","0.4902",3
"83","0.491",1
"84","0.492",3
"85","0.4928",1
"86","0.4935",2
"87","0.4942",1
"88","0.4944",1
"89","0.496",1
"90","0.4973",2
"91","0.4979",2
"92","0.4987",1
"93","0.4989",3
"94","0.4992",18
"95","0.4996",1
"96","0.4997",3
"97","0.4999",1
"98","0.5",1
"99","0.5002",1
"100","0.5003",2
"101","0.5015",1
"102","0.5016",2
"103","0.5029",3
"104","0.5036",1
"105","0.5051",1
"106","0.5054",2
"107","0.5056",1
"108","0.506",1
"109","0.5062",1
"110","0.5063",2
"111","0.5072",1
"112","0.5073",1
"113","0.5074",1
"114","0.5082",1
"115","0.5084",2
"116","0.5101",1
"117","0.5115",1
"118","0.5129",4
"119","0.5138",1
"120","0.5155",1
"121","0.5157",1
"122","0.5158",2
"123","0.516",2
"124","0.5161",1
"125","0.5166",2
"126","0.5167",1
"127","0.5174",1
"128","0.5185",1
"129","0.5187",1
"130","0.5188",1
"131","0.5191",1
"132","0.5208",5
"133","0.522",1
"134","0.5225",3
"135","0.523",1
"136","0.5236",1
"137","0.5244",3
"138","0.5267",1
"139","0.5269",1
"140","0.5274",1
"141","0.5281",1
"142","0.5284",11
"143","0.5285",1
"144","0.529",1
"145","0.5296",1
"146","0.5297",1
"147","0.5298",1
"148","0.5304",2
"149","0.5313",2
"150","0.5314",1
"151","0.5315",2
"152","0.5317",3
"153","0.5319",1
"154","0.5325",1
"155","0.5327",1
"156","0.533",1
"157","0.5333",1
"158","0.5335",2
"159","0.5337",2
"160","0.5339",2
"161","0.5341",1
"162","0.5345",1
"163","0.5348",3
"164","0.5357",1
"165","0.5365",3
"166","0.5373",2
"167","0.5376",3
"168","0.5378",1
"169","0.5391",1
"170","0.5394",2
"171","0.5411",1
"172","0.5414",1
"173","0.5415",1
"174","0.5422",1
"175","0.543",1
